conID,tstID,poiID,class
0,0,0,bicycle
0,0,1,car
0,1,0,bicycle
0,1,1,car
0,2,0,bicycle
0,2,1,car
0,3,0,bicycle
0,3,1,car
0,4,0,bicycle
0,4,1,car
0,5,0,bicycle
0,5,1,car
0,6,0,bicycle
0,6,1,car
0,7,0,bicycle
0,7,1,car
0,8,0,bicycle
0,8,1,car
0,9,0,bicycle
0,9,1,car
0,10,0,bicycle
0,10,1,car
0,11,0,bicycle
0,11,1,car
0,12,0,bicycle
0,12,1,car
0,13,0,bicycle
0,13,1,car
0,14,0,bicycle
0,14,1,car
0,15,0,bicycle
0,15,1,car
0,16,0,bicycle
0,16,1,car
0,17,0,bicycle
0,17,1,car
0,18,0,bicycle
0,18,1,car
0,19,0,bicycle
0,19,1,car
0,20,0,bicycle
0,20,1,car
0,21,0,bicycle
0,21,1,car
0,22,0,bicycle
0,22,1,car
0,23,0,bicycle
0,23,1,car
0,24,0,bicycle
0,24,1,car
0,25,0,bicycle
0,25,1,car
0,26,0,bicycle
0,26,1,car
0,27,0,bicycle
0,27,1,car
0,28,0,bicycle
0,28,1,car
0,29,0,bicycle
0,29,1,car
0,30,0,bicycle
0,30,1,car
0,31,0,bicycle
0,31,1,car
0,32,0,bicycle
0,32,1,car
0,33,0,bicycle
0,33,1,car
0,34,0,bicycle
0,34,1,car
0,35,0,bicycle
0,35,1,car
0,36,0,bicycle
0,36,1,car
0,37,0,bicycle
0,37,1,car
0,38,0,bicycle
0,38,1,car
0,39,0,bicycle
0,39,1,car
0,40,0,bicycle
0,40,1,car
0,41,0,bicycle
0,41,1,car
0,42,0,bicycle
0,42,1,car
0,43,0,bicycle
0,43,1,car
0,44,0,bicycle
0,44,1,car
0,45,0,bicycle
0,45,1,car
0,46,0,bicycle
0,46,1,car
0,47,0,bicycle
0,47,1,car
0,48,0,bicycle
0,48,1,car
0,49,0,bicycle
0,49,1,car
0,50,0,bicycle
0,50,1,car
0,51,0,bicycle
0,51,1,car
0,52,0,bicycle
0,52,1,car
0,53,0,bicycle
0,53,1,car
0,54,0,bicycle
0,54,1,car
0,55,0,bicycle
0,55,1,car
0,56,0,bicycle
0,56,1,car
0,57,0,bicycle
0,57,1,car
0,58,0,bicycle
0,58,1,car
0,59,0,bicycle
0,59,1,car
0,60,0,bicycle
0,60,1,car
0,61,0,bicycle
0,61,1,car
0,62,0,bicycle
0,62,1,car
0,63,0,bicycle
0,63,1,car
0,64,0,bicycle
0,64,1,car
0,65,0,bicycle
0,65,1,car
0,66,0,bicycle
0,66,1,car
0,67,0,bicycle
0,67,1,car
0,68,0,bicycle
0,68,1,car
0,69,0,bicycle
0,69,1,car
0,70,0,bicycle
0,70,1,car
0,71,0,bicycle
0,71,1,car
0,72,0,bicycle
0,72,1,car
0,73,0,bicycle
0,73,1,car
0,74,0,bicycle
0,74,1,car
0,75,0,bicycle
0,75,1,car
0,76,0,bicycle
0,76,1,car
0,77,0,bicycle
0,77,1,car
0,78,0,bicycle
0,78,1,car
0,79,0,bicycle
0,79,1,car
0,80,0,bicycle
0,80,1,car
0,81,0,bicycle
0,81,1,car
0,82,0,bicycle
0,82,1,car
0,83,0,bicycle
0,83,1,car
0,84,0,bicycle
0,84,1,car
0,85,0,bicycle
0,85,1,car
0,86,0,bicycle
0,86,1,car
0,87,0,bicycle
0,87,1,car
0,88,0,bicycle
0,88,1,car
0,89,0,bicycle
0,89,1,car
0,90,0,bicycle
0,90,1,car
0,91,0,bicycle
0,91,1,car
0,92,0,bicycle
0,92,1,car
0,93,0,bicycle
0,93,1,car
0,94,0,bicycle
