id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
6,0,0,0.657,0.000,3.671,0.980,0.982,0.0,0.0,232.816,-1.847,7.260,0,232.816,1.700,0.300,0.450,0.391,0.890,1,1,1,1,126,,6,visual,Data,TrackUpdate,0.10,1
6,0,0,0.723,0.066,3.717,0.989,0.990,0.0,0.0,232.816,-1.903,7.211,0,232.816,1.700,0.300,0.450,0.387,0.892,1,1,1,1,126,,7,visual,Data,TrackUpdate,0.10,1
6,0,0,0.857,0.200,3.657,0.991,0.992,0.0,0.0,232.816,-2.011,7.155,0,232.816,1.700,0.300,0.450,0.382,0.894,1,1,1,1,126,,8,visual,Data,TrackUpdate,0.10,1
6,0,0,0.923,0.266,3.697,0.993,0.994,0.0,0.0,232.816,-2.095,7.143,0,232.816,1.700,0.300,0.450,0.378,0.894,1,1,1,1,126,,9,visual,Data,TrackUpdate,0.10,1
6,0,0,1.123,0.466,3.535,0.651,0.720,0.0,0.0,232.816,-2.180,6.989,0,232.816,1.700,0.300,0.450,0.372,0.902,1,1,1,1,126,,11,visual,Data,TrackUpdate,0.10,1
6,0,0,1.257,0.600,3.478,0.771,0.822,0.0,0.0,232.816,-2.235,6.886,0,232.816,1.700,0.300,0.450,0.368,0.907,1,1,1,1,126,,12,visual,Data,TrackUpdate,0.10,1
6,0,0,1.324,0.667,3.671,0.956,0.967,0.0,0.0,232.816,-2.282,6.742,0,232.816,1.700,0.300,0.450,0.365,0.916,1,1,1,1,126,,13,visual,Data,TrackUpdate,0.10,1
6,0,0,1.459,0.802,3.814,0.987,0.991,0.0,0.0,232.816,-2.383,6.580,0,232.816,1.700,0.300,0.450,0.358,0.925,1,1,1,1,126,,14,visual,Data,TrackUpdate,0.10,1
6,0,0,1.523,0.866,3.766,0.981,0.987,0.0,0.0,232.816,-2.428,6.560,0,232.816,1.700,0.300,0.450,0.355,0.925,1,1,1,1,126,,15,visual,Data,TrackUpdate,0.10,1
6,0,0,1.57,0.400,3.416,0.988,0.990,0.0,0.0,232.816,-2.085,7.024,0,232.816,1.700,0.300,0.450,0.377,0.901,1,1,1,1,126,,10,visual,Data,TrackUpdate,0.10,1
6,0,0,1.657,1.000,4.022,0.985,0.990,0.0,0.0,216.361,-2.535,6.322,0,216.361,1.700,0.300,0.450,0.347,0.939,1,1,1,1,126,,16,visual,Data,TrackUpdate,0.10,1
6,0,0,1.723,1.066,4.046,0.988,0.992,0.0,0.0,216.361,-2.554,6.226,0,216.361,1.700,0.300,0.450,0.345,0.945,127,127,1,1,127,,17,visual,Data,TrackUpdate,0.10,1
6,0,0,1.857,1.200,3.892,0.958,0.974,0.0,0.0,216.361,-2.579,6.150,0,216.361,1.700,0.300,0.450,0.343,0.950,127,127,1,1,127,,18,visual,Data,TrackUpdate,0.10,1
6,0,0,1.923,1.266,4.000,0.991,0.995,0.0,0.0,216.361,-2.630,6.027,0,216.361,1.700,0.300,0.450,0.339,0.956,127,127,1,1,127,,19,visual,Data,TrackUpdate,0.10,1
28,12,0,103.259,0.067,3.328,0.952,0.962,0.0,0.0,272.693,4.997,12.184,0,272.693,1.900,1.100,0.450,0.658,0.699,1,1,1,1,126,,1032,visual,Data,TrackUpdate,0.10,1
28,12,0,103.323,0.131,3.476,0.987,0.990,0.0,0.0,272.693,4.895,12.125,0,272.693,1.900,1.100,0.450,0.655,0.701,1,1,1,1,126,,1033,visual,Data,TrackUpdate,0.10,1
28,12,0,103.457,0.265,3.150,0.996,0.997,0.0,0.0,272.693,4.858,12.171,0,272.693,1.900,1.100,0.450,0.654,0.699,1,1,1,1,126,,1034,visual,Data,TrackUpdate,0.10,1
28,12,0,103.523,0.331,3.060,0.988,0.991,0.0,0.0,272.693,4.830,12.201,0,272.693,1.900,1.100,0.450,0.652,0.697,1,1,1,1,126,,1035,visual,Data,TrackUpdate,0.10,1
28,12,0,103.657,0.465,2.925,0.991,0.994,0.0,0.0,272.693,4.739,12.000,0,272.693,1.900,1.100,0.450,0.651,0.705,1,1,1,1,126,,1036,visual,Data,TrackUpdate,0.10,1
28,12,0,103.723,0.531,2.877,0.966,0.977,0.0,0.0,272.693,4.705,12.100,0,272.693,1.900,1.100,0.450,0.649,0.701,1,1,1,1,126,,1037,visual,Data,TrackUpdate,0.10,1
28,12,0,103.858,0.666,2.764,0.997,0.998,0.0,0.0,272.693,4.643,12.128,0,272.693,1.900,1.100,0.450,0.647,0.700,1,1,1,1,126,,1038,visual,Data,TrackUpdate,0.10,1
28,12,0,103.925,0.733,2.776,0.999,0.999,0.0,0.0,272.693,4.589,12.155,0,272.693,1.900,1.100,0.450,0.645,0.699,1,1,1,1,126,,1039,visual,Data,TrackUpdate,0.10,1
28,12,0,104.123,0.931,3.132,0.999,0.999,0.0,0.0,272.693,4.277,12.097,0,272.693,1.900,1.100,0.450,0.635,0.700,1,1,1,1,126,,1041,visual,Data,TrackUpdate,0.10,1
28,12,0,104.257,1.065,3.161,0.999,0.999,0.0,0.0,272.693,4.144,12.010,0,272.693,1.900,1.100,0.450,0.632,0.703,1,1,1,1,126,,1042,visual,Data,TrackUpdate,0.10,1
28,12,0,104.323,1.131,3.086,0.998,0.999,0.0,0.0,272.693,4.128,12.008,0,272.693,1.900,1.100,0.450,0.631,0.703,1,1,1,1,126,,1043,visual,Data,TrackUpdate,0.10,1
28,12,0,104.457,1.265,3.125,0.999,0.999,0.0,0.0,276.821,3.999,12.056,0,276.821,1.900,1.100,0.450,0.627,0.701,1,1,1,1,126,,1044,visual,Data,TrackUpdate,0.10,1
28,12,0,104.523,1.331,3.340,0.999,1.000,0.0,0.0,276.821,3.823,12.025,0,276.821,1.900,1.100,0.450,0.621,0.701,1,1,1,1,126,,1045,visual,Data,TrackUpdate,0.10,1
28,12,0,104.57,0.865,2.997,0.999,0.999,0.0,0.0,272.693,4.391,12.143,0,272.693,1.900,1.100,0.450,0.639,0.699,1,1,1,1,126,,1040,visual,Data,TrackUpdate,0.10,1
28,12,0,104.657,1.465,3.357,0.999,1.000,0.0,0.0,276.821,3.692,12.016,0,276.821,1.900,1.100,0.450,0.617,0.701,1,1,1,1,126,,1046,visual,Data,TrackUpdate,0.10,1
28,12,0,104.723,1.531,3.315,0.999,1.000,0.0,0.0,276.821,3.659,11.998,0,276.821,1.900,1.100,0.450,0.616,0.701,1,1,1,1,126,,1047,visual,Data,TrackUpdate,0.10,1
28,12,0,104.857,1.665,3.234,0.999,1.000,0.0,0.0,276.821,3.591,11.988,0,276.821,1.900,1.100,0.450,0.614,0.701,1,1,1,1,126,,1048,visual,Data,TrackUpdate,0.10,1
28,12,0,104.923,1.731,3.257,0.999,1.000,0.0,0.0,276.821,3.532,11.962,0,276.821,1.900,1.100,0.450,0.612,0.703,1,1,1,1,126,,1049,visual,Data,TrackUpdate,0.10,1
28,12,0,105.123,1.931,3.163,0.999,1.000,0.0,0.0,270.629,3.422,11.872,0,270.629,1.900,1.100,0.450,0.608,0.706,1,1,1,1,126,,1051,visual,Data,TrackUpdate,0.10,1
28,12,0,105.257,2.065,3.389,0.998,0.999,0.0,0.0,270.629,3.172,11.740,0,270.629,1.900,1.100,0.450,0.601,0.709,1,1,1,1,126,,1052,visual,Data,TrackUpdate,0.10,1
28,12,0,105.323,2.131,3.861,0.998,0.999,0.0,0.0,270.629,3.106,11.604,0,270.629,1.700,0.300,0.450,0.599,0.714,1,1,1,1,126,,1053,visual,Data,TrackUpdate,0.10,1
28,12,0,105.457,2.265,3.471,0.999,1.000,0.0,0.0,270.629,3.086,11.610,0,270.629,1.700,0.300,0.450,0.598,0.714,1,1,1,1,126,,1054,visual,Data,TrackUpdate,0.10,1
28,12,0,105.523,2.331,3.239,0.999,1.000,0.0,0.0,270.629,3.044,11.585,0,270.629,1.700,0.300,0.450,0.597,0.715,1,1,1,1,126,,1055,visual,Data,TrackUpdate,0.10,1
28,12,0,105.57,1.865,3.149,0.999,1.000,0.0,0.0,270.629,3.443,11.861,0,270.629,1.900,1.100,0.450,0.609,0.706,1,1,1,1,126,,1050,visual,Data,TrackUpdate,0.10,1
