,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,frame_index,YOLO_cls,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,0,1726.000,33.350,-7.850,0.000,0.000,0.784,0.663,0,0,926.000,191.000,949.000,263.000,33.350,-7.850,-1.010,0.910,0.490,1.950,2.293
1,1,1726.000,25.972,-2.701,0.000,0.000,0.714,NaN,0,0,755.000,192.000,799.000,277.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2,1726.000,30.280,-8.640,0.000,0.000,0.707,0.153,0,0,985.000,191.000,1016.000,266.000,30.280,-8.640,-1.120,1.870,0.660,1.840,-1.033
3,3,1726.000,30.595,-6.306,0.000,0.000,0.655,NaN,0,0,877.000,191.000,908.000,266.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,5,1726.000,10.140,-7.430,0.000,0.000,NaN,1.000,0,0,1455.000,196.000,1772.000,456.000,10.140,-7.430,-1.220,1.920,0.560,1.770,-2.971
5,0,1727.000,33.267,-7.787,-0.074,0.041,0.834,0.959,1,0,922.000,191.000,946.000,264.000,33.250,-7.770,-1.110,0.860,0.480,1.760,2.504
6,1,1727.000,26.057,-2.954,0.072,-0.227,0.746,NaN,1,0,760.000,192.000,805.000,274.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,2,1727.000,30.359,-8.738,0.044,-0.073,0.619,0.082,1,0,994.000,190.000,1017.000,262.000,30.380,-8.770,-1.140,1.010,0.610,1.890,-0.872
8,3,1727.000,30.576,-6.026,-0.048,0.132,0.588,0.784,1,0,871.000,191.000,901.000,265.000,30.530,-5.940,-1.060,1.940,0.570,1.870,2.499
9,5,1727.000,9.891,-7.460,-0.180,-0.027,NaN,1.000,1,0,1495.000,198.000,1808.000,472.000,9.820,-7.480,-1.260,1.790,0.510,1.810,-2.974
10,6,1727.000,34.631,-11.221,0.000,0.000,0.480,NaN,1,0,1036.000,187.000,1063.000,259.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,7,1727.000,39.459,-16.203,0.000,0.000,0.475,NaN,1,0,1152.000,191.000,1176.000,247.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,0,1729.000,33.197,-7.643,-0.076,0.107,0.780,0.945,2,0,918.000,194.000,943.000,264.000,33.210,-7.610,-1.060,0.840,0.510,1.870,2.595
13,1,1729.000,26.243,-3.079,0.138,-0.182,0.748,0.578,2,0,770.000,191.000,815.000,269.000,26.340,-3.080,-1.070,0.940,0.590,1.780,-0.951
14,2,1729.000,30.520,-8.912,0.127,-0.160,0.758,0.673,2,0,1004.000,194.000,1030.000,263.000,30.530,-8.940,-1.140,0.960,0.500,1.780,-0.804
15,3,1729.000,30.429,-5.930,-0.090,0.102,0.282,0.878,2,0,873.000,191.000,890.000,253.000,30.430,-5.840,-1.050,0.850,0.570,1.760,-0.797
16,5,1729.000,9.426,-7.542,-0.358,-0.009,NaN,0.999,2,0,1529.000,194.000,1889.000,479.000,9.430,-7.560,-1.220,1.900,0.560,1.790,-2.967
17,6,1729.000,34.600,-11.073,-0.009,0.108,0.594,NaN,2,0,1036.000,195.000,1057.000,259.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,7,1729.000,39.462,-16.243,-0.003,-0.025,0.418,NaN,2,0,1151.000,192.000,1169.000,243.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,0,1730.000,33.114,-7.459,-0.077,0.135,0.674,0.466,3,0,914.000,192.000,940.000,262.000,33.120,-7.420,-1.070,0.880,0.540,1.730,-0.873
20,1,1730.000,26.375,-3.313,0.130,-0.207,0.758,NaN,3,0,775.000,192.000,821.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,2,1730.000,30.745,-9.148,0.199,-0.197,0.692,0.203,3,0,1010.000,192.000,1036.000,262.000,30.810,-9.250,-1.100,0.890,0.570,1.820,-0.866
22,3,1730.000,30.361,-5.764,-0.081,0.146,0.472,0.116,3,0,863.000,192.000,887.000,269.000,30.400,-5.660,-1.030,1.790,0.650,1.760,-0.928
23,5,1730.000,9.070,-7.614,-0.348,-0.033,NaN,0.984,3,0,1577.000,174.000,1969.000,505.000,9.030,-7.650,-1.200,1.900,0.610,1.980,-3.022
24,6,1730.000,34.547,-10.945,-0.022,0.115,0.719,NaN,3,0,1033.000,195.000,1054.000,259.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,7,1730.000,39.398,-16.223,-0.055,0.009,0.133,NaN,3,0,1145.000,198.000,1168.000,241.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0,1732.000,32.905,-7.345,-0.121,0.132,0.653,NaN,4,0,911.000,191.000,930.000,264.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1,1732.000,26.545,-3.577,0.148,-0.236,0.707,NaN,4,0,785.000,192.000,831.000,265.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,2,1732.000,31.002,-9.458,0.222,-0.251,0.571,0.070,4,0,1016.000,196.000,1050.000,256.000,31.120,-9.590,-1.120,1.750,0.570,1.980,-0.865
29,3,1732.000,30.277,-5.627,-0.084,0.138,NaN,NaN,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,5,1732.000,8.725,-7.647,-0.344,-0.034,NaN,NaN,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,6,1732.000,34.533,-10.828,-0.014,0.116,NaN,NaN,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,7,1732.000,39.276,-16.004,-0.100,0.092,0.560,NaN,4,0,1141.000,190.000,1164.000,239.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,0,1733.000,32.742,-7.248,-0.136,0.118,0.715,NaN,5,0,906.000,191.000,930.000,263.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1,1733.000,26.807,-3.751,0.205,-0.185,0.747,0.230,5,0,792.000,184.000,829.000,265.000,26.890,-3.730,-1.120,1.920,0.510,1.950,-0.849
35,2,1733.000,31.211,-9.755,0.221,-0.273,0.385,0.117,5,0,1011.000,197.000,1045.000,253.000,31.240,-9.790,-0.990,0.790,0.610,1.600,-1.056
