,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,t_index,YOLO_cls,rgb_LLR,lidar_LLR,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
0,0,1500.000,29.080,-11.620,0.000,0.000,0.764,0.476,0,0,1.256,-0.373,1133.000,198.000,1159.000,275.000,29.080,-11.620,-1.130,0.800,0.490,1.800,2.487
1,0,1501.000,29.102,-11.566,0.001,0.005,0.750,NaN,1,0,2.906,-1.325,1133.000,197.000,1159.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0,1502.000,29.099,-11.603,-0.004,-0.015,0.746,0.280,2,0,1.189,-0.831,1133.000,197.000,1159.000,275.000,29.060,-11.660,-1.230,0.840,0.580,1.640,-0.100
3,0,1503.000,29.112,-11.584,0.005,0.002,0.741,NaN,3,0,2.746,-1.325,1133.000,197.000,1159.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0,1504.000,29.115,-11.557,0.009,0.013,0.737,NaN,4,0,2.746,-1.325,1133.000,197.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0,1505.000,29.138,-11.584,0.009,0.004,0.735,0.017,5,0,1.111,-1.739,1132.000,197.000,1158.000,275.000,29.170,-11.670,-1.110,0.770,0.710,1.640,-0.405
6,0,1506.000,29.169,-11.562,0.011,0.012,0.716,NaN,6,0,2.434,-1.325,1132.000,198.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0,1507.000,29.179,-11.556,0.009,0.012,0.722,NaN,7,0,2.434,-1.325,1132.000,198.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0,1508.000,29.114,-11.549,-0.003,0.009,0.738,0.680,8,0,1.111,0.198,1132.000,197.000,1158.000,275.000,29.080,-11.600,-1.150,0.750,0.730,1.750,1.644
9,0,1509.000,29.108,-11.528,-0.002,0.011,0.721,NaN,9,0,2.434,-1.325,1132.000,197.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0,1510.000,29.102,-11.530,-0.000,0.008,0.725,NaN,10,0,2.590,-1.325,1133.000,197.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0,1511.000,29.073,-11.528,-0.007,0.006,0.716,0.301,11,0,0.897,-0.799,1133.000,197.000,1157.000,275.000,29.030,-11.600,-1.150,0.800,0.620,1.780,-0.470
12,0,1512.000,29.084,-11.565,-0.008,-0.003,0.716,0.711,12,0,0.897,0.380,1133.000,197.000,1157.000,275.000,29.100,-11.670,-1.090,0.860,0.540,1.730,2.177
13,0,1513.000,29.093,-11.532,-0.005,0.007,0.714,NaN,13,0,2.280,-1.325,1133.000,197.000,1156.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,0,1514.000,29.092,-11.526,-0.005,0.007,0.706,NaN,14,0,2.280,-1.325,1133.000,197.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0,1515.000,29.110,-11.561,-0.003,-0.005,0.703,0.404,15,0,0.622,-0.627,1133.000,198.000,1157.000,275.000,29.090,-11.620,-1.290,0.830,0.650,1.790,-0.254
16,0,1516.000,29.121,-11.553,0.000,-0.001,0.712,NaN,16,0,2.280,-1.325,1133.000,198.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,0,1517.000,29.124,-11.566,-0.000,-0.004,0.712,0.199,17,0,0.761,-1.051,1132.000,198.000,1157.000,275.000,29.080,-11.610,-1.080,0.630,0.460,1.700,-0.111
18,0,1518.000,29.193,-11.626,0.012,-0.016,0.720,0.015,18,0,0.897,-1.753,1132.000,197.000,1157.000,276.000,29.230,-11.720,-1.270,0.770,0.630,1.800,-0.260
19,0,1519.000,29.227,-11.601,0.017,-0.006,0.723,NaN,19,0,2.434,-1.325,1132.000,198.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,0,1520.000,29.166,-11.579,-0.000,0.000,0.721,0.227,20,0,0.897,-0.973,1132.000,197.000,1157.000,276.000,29.060,-11.570,-0.940,0.840,0.530,1.760,1.483
21,0,1521.000,29.129,-11.602,-0.012,-0.004,0.718,0.255,21,0,0.897,-0.890,1132.000,198.000,1156.000,275.000,29.040,-11.680,-1.130,0.780,0.660,1.730,1.172
22,0,1522.000,29.132,-11.574,-0.010,0.004,0.724,NaN,22,0,2.434,-1.325,1133.000,198.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,0,1523.000,29.119,-11.591,-0.013,-0.001,0.718,0.813,23,0,0.897,0.863,1133.000,198.000,1157.000,275.000,29.090,-11.650,-1.080,0.780,0.660,1.680,-0.100
24,0,1524.000,29.105,-11.589,-0.014,-0.001,0.710,0.604,24,0,0.761,-0.040,1132.000,198.000,1156.000,275.000,29.120,-11.580,-1.120,0.790,0.500,1.800,2.047
25,0,1525.000,29.108,-11.564,-0.011,0.007,0.756,NaN,25,0,3.077,-1.325,1133.000,197.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0,1526.000,29.088,-11.571,-0.013,0.004,0.755,0.040,26,0,1.189,-1.665,1133.000,197.000,1158.000,275.000,29.060,-11.640,-1.220,0.790,0.730,1.820,-1.915
27,0,1527.000,29.085,-11.579,-0.008,-0.000,0.747,0.465,27,0,1.189,-0.404,1133.000,197.000,1157.000,275.000,29.100,-11.600,-1.120,0.900,0.470,1.780,2.371
28,0,1528.000,29.089,-11.552,-0.005,0.008,0.744,NaN,28,0,2.746,-1.325,1133.000,197.000,1157.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,0,1529.000,29.105,-11.575,-0.001,0.001,0.747,0.013,29,0,1.189,-1.753,1133.000,197.000,1157.000,275.000,29.110,-11.640,-1.010,0.770,0.480,1.640,-0.360
30,0,1530.000,29.048,-11.594,-0.013,-0.005,0.740,0.586,30,0,1.111,-0.064,1133.000,198.000,1157.000,275.000,28.970,-11.640,-1.250,0.780,0.640,1.660,-0.219
31,0,1531.000,29.058,-11.562,-0.007,0.004,0.750,NaN,31,0,2.906,-1.325,1133.000,197.000,1158.000,275.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,0,1532.000,29.053,-11.562,-0.006,0.003,0.755,0.456,32,0,1.256,-0.443,1133.000,197.000,1158.000,275.000,29.050,-11.590,-1.170,0.810,0.640,1.690,-0.731
33,0,1533.000,29.076,-11.586,-0.001,-0.004,0.774,0.485,33,0,1.319,-0.373,1133.000,197.000,1158.000,275.000,29.110,-11.650,-1.120,0.780,0.650,1.780,-0.128
34,0,1534.000,29.184,-11.318,0.018,0.064,0.171,NaN,34,0,-1.625,-1.325,1120.000,197.000,1138.000,254.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0,1535.000,29.206,-11.334,0.021,0.043,0.721,0.050,35,0,0.897,-1.600,1132.000,198.000,1158.000,276.000,29.050,-11.670,-1.130,0.830,0.620,1.750,-0.332
36,0,1536.000,29.201,-11.372,0.017,0.018,0.706,0.121,36,0,0.761,-1.276,1133.000,198.000,1158.000,275.000,29.110,-11.560,-1.140,0.770,0.640,1.730,-0.950
37,0,1537.000,29.236,-11.248,0.020,0.047,0.185,NaN,37,0,-1.750,-1.326,1120.000,198.000,1138.000,235.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,0,1538.000,29.266,-11.231,0.023,0.040,0.221,NaN,38,0,-1.368,-1.326,1121.000,198.000,1138.000,249.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
