id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
7,0,1,0.257,0.000,13.908,0.943,0.947,0.0,0.0,226.751,3.253,11.819,0,226.751,1.800,1.800,0.700,0.603,0.706,1,1,1,1,126,,2,visual,Data,TrackUpdate,0.10,1
7,0,1,0.323,0.066,13.148,0.991,0.992,0.0,0.0,226.751,3.085,11.713,0,226.751,1.800,1.800,0.700,0.598,0.710,1,1,1,1,126,,3,visual,Data,TrackUpdate,0.10,1
6,1,0,0.400,0.000,7.527,0.996,0.996,0.0,0.0,29.144,3.503,8.145,0,29.144,1.700,0.300,0.450,0.635,0.867,1,1,1,1,126,,4,visual,Data,TrackUpdate,0.10,2
7,0,1,0.400,0.143,12.961,0.936,0.945,0.0,0.0,226.751,2.904,11.516,0,226.751,1.800,1.800,0.700,0.593,0.717,1,1,1,1,126,,4,visual,Data,TrackUpdate,0.10,2
6,1,0,0.523,0.123,5.337,0.930,0.937,0.0,0.0,29.144,3.551,8.084,0,29.144,1.700,0.300,0.450,0.638,0.870,1,1,1,1,126,,5,visual,Data,TrackUpdate,0.10,2
7,0,1,0.523,0.266,13.446,0.955,0.964,0.0,0.0,228.188,2.505,11.186,0,228.188,1.800,1.800,0.700,0.580,0.728,1,1,1,1,126,,5,visual,Data,TrackUpdate,0.10,2
6,1,0,0.657,0.257,4.575,0.995,0.996,0.0,0.0,29.144,3.581,8.151,0,29.144,1.700,0.300,0.450,0.639,0.866,1,1,1,1,126,,6,visual,Data,TrackUpdate,0.10,2
7,0,1,0.657,0.400,13.294,0.994,0.996,0.0,0.0,233.274,2.144,10.850,0,233.274,1.800,1.800,0.700,0.568,0.739,1,1,1,1,126,,6,visual,Data,TrackUpdate,0.10,2
6,1,0,0.724,0.324,4.688,0.996,0.997,0.0,0.0,29.144,3.655,8.233,0,29.144,1.700,0.300,0.450,0.641,0.862,1,1,1,1,126,,7,visual,Data,TrackUpdate,0.10,2
7,0,1,0.724,0.467,12.816,0.938,0.956,0.0,0.0,233.274,1.980,10.782,0,233.274,1.800,1.800,0.700,0.562,0.741,1,1,1,1,126,,7,visual,Data,TrackUpdate,0.10,2
6,1,0,0.857,0.457,4.917,0.994,0.995,0.0,0.0,29.144,3.741,8.435,0,29.144,1.700,0.300,0.450,0.643,0.852,1,1,1,1,126,,8,visual,Data,TrackUpdate,0.10,2
7,0,1,0.857,0.600,12.141,0.386,0.594,0.0,0.0,237.328,1.638,10.649,0,237.328,1.800,1.800,0.700,0.550,0.745,1,1,1,1,126,,8,visual,Data,TrackUpdate,0.10,2
6,1,0,0.923,0.523,4.958,0.985,0.988,0.0,0.0,29.144,3.806,8.508,0,29.144,1.700,0.300,0.450,0.645,0.848,1,1,1,1,126,,9,visual,Data,TrackUpdate,0.10,2
7,0,1,0.923,0.666,12.252,0.343,0.587,0.0,0.0,237.328,1.380,10.565,0,237.328,1.800,1.800,0.700,0.540,0.747,1,1,1,1,126,,9,visual,Data,TrackUpdate,0.10,2
6,1,0,1.123,0.723,4.172,0.997,0.998,0.0,0.0,29.144,3.854,8.525,0,29.144,1.700,0.300,0.450,0.647,0.847,1,1,1,1,126,,11,visual,Data,TrackUpdate,0.10,2
7,0,1,1.123,0.866,11.986,0.780,0.880,0.0,0.0,240.482,0.776,10.306,0,240.482,1.800,1.800,0.700,0.518,0.756,1,1,1,1,126,,11,visual,Data,TrackUpdate,0.10,2
6,1,0,1.257,0.857,4.155,0.997,0.998,0.0,0.0,29.144,3.954,8.651,0,29.144,1.700,0.300,0.450,0.649,0.841,1,1,1,1,126,,12,visual,Data,TrackUpdate,0.10,2
7,0,1,1.257,1.000,11.632,0.515,0.758,0.0,0.0,246.177,0.481,10.127,0,246.177,1.800,1.800,0.700,0.506,0.761,127,127,1,1,127,,12,visual,Data,TrackUpdate,0.10,2
6,1,0,1.324,0.924,4.432,0.997,0.998,0.0,0.0,29.144,4.059,8.779,0,29.144,1.700,0.300,0.450,0.653,0.834,1,1,1,1,126,,13,visual,Data,TrackUpdate,0.10,2
7,0,1,1.324,1.067,12.538,0.346,0.713,0.0,0.0,245.263,-0.017,9.876,0,245.263,1.800,1.800,0.700,0.485,0.769,1,1,1,1,126,,13,visual,Data,TrackUpdate,0.10,2
6,1,0,1.457,1.057,4.410,0.996,0.997,0.0,0.0,29.144,4.188,8.873,0,29.144,1.700,0.300,0.450,0.657,0.830,1,1,1,1,126,,14,visual,Data,TrackUpdate,0.10,2
7,0,1,1.457,1.200,12.585,0.904,0.964,0.0,0.0,245.263,-0.442,9.589,0,245.263,1.800,1.800,0.700,0.467,0.779,1,1,1,1,126,,14,visual,Data,TrackUpdate,0.10,2
6,1,0,1.523,1.123,4.545,0.998,0.999,0.0,0.0,40.871,4.286,8.984,0,40.871,1.700,0.300,0.450,0.660,0.825,1,1,1,1,126,,15,visual,Data,TrackUpdate,0.10,2
7,0,1,1.523,1.266,12.788,0.816,0.931,0.0,0.0,244.200,-0.693,9.384,0,244.200,1.800,1.800,0.700,0.456,0.787,1,1,1,1,126,,15,visual,Data,TrackUpdate,0.10,2
6,1,0,1.57,0.657,4.543,0.996,0.997,0.0,0.0,29.144,3.861,8.556,0,29.144,1.700,0.300,0.450,0.647,0.846,1,1,1,1,126,,10,visual,Data,TrackUpdate,0.10,2
7,0,1,1.57,0.800,12.087,0.668,0.810,0.0,0.0,240.482,0.956,10.405,0,240.482,1.800,1.800,0.700,0.524,0.752,1,1,1,1,126,,10,visual,Data,TrackUpdate,0.10,2
6,1,0,1.657,1.257,4.348,0.883,0.924,0.0,0.0,40.871,4.335,9.065,0,40.871,1.700,0.300,0.450,0.661,0.820,1,1,1,1,126,,16,visual,Data,TrackUpdate,0.10,2
7,0,1,1.657,1.400,13.034,0.900,0.964,0.0,0.0,239.647,-1.109,8.941,0,239.647,1.800,1.800,0.700,0.436,0.806,1,1,1,1,126,,16,visual,Data,TrackUpdate,0.10,2
