id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
289,4,0,153.353,0.068,3.106,0.998,0.998,0.0,0.0,350.686,3.912,8.546,0,350.686,1.700,0.300,0.450,0.900,1.038,127,127,1,1,127,,1533,visual,Data,TrackUpdate,0.10,1
289,4,0,153.419,0.134,2.852,0.995,0.996,0.0,0.0,350.686,3.812,8.515,0,350.686,1.700,0.300,0.450,0.892,1.042,127,127,1,1,127,,1534,visual,Data,TrackUpdate,0.10,1
289,4,0,153.553,0.268,2.732,0.992,0.994,0.0,0.0,350.686,3.670,8.538,0,350.686,1.700,0.300,0.450,0.879,1.042,127,127,1,1,127,,1535,visual,Data,TrackUpdate,0.10,1
289,4,0,153.620,0.335,2.761,0.997,0.998,0.0,0.0,350.686,3.563,8.551,0,350.686,1.700,0.300,0.450,0.869,1.044,127,127,1,1,127,,1536,visual,Data,TrackUpdate,0.10,1
289,4,0,153.700,0.415,3.011,0.998,0.999,0.0,0.0,350.686,3.403,8.623,0,350.686,1.700,0.300,0.450,0.853,1.044,127,127,1,1,127,,1537,visual,Data,TrackUpdate,0.10,1
289,4,0,153.819,0.534,3.319,0.998,0.999,0.0,0.0,350.686,3.257,8.785,0,350.686,1.700,0.300,0.450,0.838,1.040,127,127,1,1,127,,1538,visual,Data,TrackUpdate,0.10,1
289,4,0,153.953,0.668,3.308,0.998,0.999,0.0,0.0,350.686,3.149,8.852,0,350.686,1.700,0.300,0.450,0.828,1.040,127,127,1,1,127,,1539,visual,Data,TrackUpdate,0.10,1
289,4,0,154.152,0.867,3.509,0.998,0.999,0.0,0.0,350.686,2.939,9.039,0,350.686,1.700,0.300,0.450,0.808,1.040,127,127,1,1,127,,1541,visual,Data,TrackUpdate,0.10,1
289,4,0,154.19,0.734,3.454,0.998,0.999,0.0,0.0,350.686,3.063,8.942,0,350.686,1.700,0.300,0.450,0.819,1.039,127,127,1,1,127,,1540,visual,Data,TrackUpdate,0.10,1
289,4,0,154.218,0.933,3.762,0.998,0.999,0.0,0.0,350.686,2.795,9.163,0,350.686,1.700,0.300,0.450,0.794,1.040,127,127,1,1,127,,1542,visual,Data,TrackUpdate,0.10,1
