id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
13,0,0,264.151,0.000,10.413,0.951,0.960,0.0,0.0,335.594,-5.400,10.803,0,335.594,1.700,0.300,0.450,0.043,0.829,1,1,1,1,126,,2639,visual,Data,TrackUpdate,0.10,1
13,0,0,264.218,0.067,8.821,0.998,0.998,0.0,0.0,335.594,-5.354,10.841,0,335.594,1.700,0.300,0.450,0.046,0.828,127,127,1,1,127,,2640,visual,Data,TrackUpdate,0.10,1
13,0,0,264.352,0.201,7.742,0.999,0.999,0.0,0.0,335.594,-5.298,11.036,0,335.594,1.700,0.300,0.450,0.054,0.820,127,127,1,1,127,,2641,visual,Data,TrackUpdate,0.10,1
13,0,0,264.417,0.266,6.054,0.999,0.999,0.0,0.0,335.594,-5.247,10.904,0,335.594,1.700,0.300,0.450,0.054,0.827,127,127,1,1,127,,2642,visual,Data,TrackUpdate,0.10,1
13,0,0,264.549,0.398,6.350,0.998,0.999,0.0,0.0,335.594,-5.163,11.182,0,335.594,1.700,0.300,0.450,0.065,0.817,1,1,1,1,126,,2643,visual,Data,TrackUpdate,0.10,1
12,1,5,264.618,0.000,21.002,0.989,0.991,0.0,0.0,6.695,-1.682,14.687,0,6.695,1.500,5.000,2.000,0.352,0.726,1,1,1,1,126,,2644,visual,Data,TrackUpdate,0.10,2
13,0,0,264.618,0.467,6.050,0.998,0.999,0.0,0.0,335.594,-5.155,11.232,0,335.594,1.700,0.300,0.450,0.066,0.816,1,1,1,1,126,,2644,visual,Data,TrackUpdate,0.10,2
12,1,5,264.750,0.132,19.769,0.997,0.998,0.0,0.0,6.695,-1.598,15.283,0,6.695,1.500,5.000,2.000,0.364,0.703,1,1,1,1,126,,2645,visual,Data,TrackUpdate,0.10,2
13,0,0,264.750,0.599,6.822,0.998,0.999,0.0,0.0,335.594,-5.206,11.644,0,335.594,1.700,0.300,0.450,0.070,0.799,1,1,1,1,126,,2645,visual,Data,TrackUpdate,0.10,2
12,1,5,264.818,0.200,18.591,0.997,0.998,0.0,0.0,6.695,-1.573,15.473,0,6.695,1.500,5.000,2.000,0.367,0.696,1,1,1,1,126,,2646,visual,Data,TrackUpdate,0.10,2
