id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
439,80,5,1000.107,4.660,24.479,0.998,1.000,0.0,0.0,174.588,4.040,13.844,0,174.588,1.500,5.000,2.000,0.623,0.644,1,1,1,1,126,,10001,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.240,4.793,24.446,0.997,1.000,0.0,0.0,174.638,4.137,12.979,0,174.638,1.500,5.000,2.000,0.633,0.669,1,1,1,1,126,,10002,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.307,4.860,24.534,0.998,1.000,0.0,0.0,174.638,4.194,12.555,0,174.638,1.500,5.000,2.000,0.637,0.681,1,1,1,1,126,,10003,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.40,4.593,24.367,0.988,1.000,0.0,0.0,174.595,3.991,14.313,0,174.595,1.500,5.000,2.000,0.619,0.631,1,1,1,1,126,,10000,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.446,4.999,24.577,0.995,1.000,0.0,0.0,174.558,4.302,11.645,0,174.558,1.500,5.000,2.000,0.648,0.710,1,1,1,1,126,,10004,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.507,5.060,24.530,0.995,1.000,0.0,0.0,174.430,4.366,11.270,0,174.430,1.500,5.000,2.000,0.654,0.723,1,1,1,1,126,,10005,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.640,5.193,24.670,0.992,1.000,0.0,0.0,174.364,4.474,10.373,0,174.364,1.500,5.000,2.000,0.666,0.756,1,1,1,1,126,,10006,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.707,5.260,24.594,0.994,1.000,0.0,0.0,174.364,4.532,9.954,0,174.364,1.500,5.000,2.000,0.672,0.772,1,1,1,1,126,,10007,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.842,5.395,24.365,0.996,1.000,0.0,0.0,174.255,4.644,9.112,0,174.255,1.500,5.000,2.000,0.685,0.808,1,1,1,1,126,,10008,visual,Data,TrackUpdate,0.10,1
439,80,5,1000.907,5.460,24.285,0.995,1.000,0.0,0.0,174.112,4.714,8.709,0,174.112,1.500,5.000,2.000,0.693,0.826,127,127,1,1,127,,10009,visual,Data,TrackUpdate,0.10,1
439,80,5,1001.107,5.660,24.658,0.977,1.000,0.0,0.0,173.997,4.894,7.095,0,173.997,1.500,5.000,2.000,0.721,0.906,127,127,1,1,127,,10011,visual,Data,TrackUpdate,0.10,1
439,80,5,1001.240,5.793,24.622,0.977,1.000,0.0,0.0,173.879,4.996,6.157,0,173.879,1.500,5.000,2.000,0.738,0.956,127,127,1,1,127,,10012,visual,Data,TrackUpdate,0.10,1
439,80,5,1001.307,5.860,24.585,0.977,1.000,0.0,0.0,173.879,5.051,5.685,0,173.879,1.500,5.000,2.000,0.746,0.983,127,127,1,1,127,,10013,visual,Data,TrackUpdate,0.10,1
439,80,5,1001.41,5.594,24.586,0.993,1.000,0.0,0.0,174.060,4.838,7.605,0,174.060,1.500,5.000,2.000,0.711,0.879,127,127,1,1,127,,10010,visual,Data,TrackUpdate,0.10,1
439,80,5,1001.447,6.000,24.615,0.977,1.000,0.0,0.0,173.801,5.160,4.697,0,173.801,1.500,5.000,2.000,0.766,1.042,127,127,1,1,127,,10014,visual,Data,TrackUpdate,0.10,1
439,80,5,1001.507,6.060,24.621,0.977,1.000,0.0,0.0,173.801,5.209,4.273,0,173.801,1.500,5.000,2.000,0.774,1.069,127,127,1,1,127,,10015,visual,Data,TrackUpdate,0.10,1
445,81,5,1028.446,0.000,6.726,0.998,0.999,0.0,0.0,158.141,0.220,40.416,0,158.141,1.500,5.000,2.000,0.503,0.351,1,1,2,2,126,,10284,visual,Data,TrackUpdate,0.10,1
