id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
11,0,0,10.115,5.466,0.586,0.999,1.000,0.0,0.0,206.860,3.503,13.713,0,206.860,1.700,0.300,0.450,0.790,0.844,1,1,1,1,126,,101,visual,Data,TrackUpdate,0.10,1
11,0,0,10.249,5.600,0.557,0.999,1.000,0.0,0.0,206.860,3.503,13.713,0,206.860,1.700,0.300,0.450,0.790,0.844,1,1,1,1,126,,102,visual,Data,TrackUpdate,0.10,1
11,0,0,10.317,5.668,0.561,0.999,1.000,0.0,0.0,206.860,3.503,13.713,0,206.860,1.700,0.300,0.450,0.790,0.844,1,1,1,1,126,,103,visual,Data,TrackUpdate,0.10,1
11,0,0,10.448,5.799,0.274,0.999,1.000,0.0,0.0,206.860,3.500,13.701,0,206.860,1.700,0.300,0.450,0.790,0.845,1,1,1,1,126,,104,visual,Data,TrackUpdate,0.10,1
11,0,0,10.516,5.867,0.157,0.999,1.000,0.0,0.0,206.860,3.497,13.693,0,206.860,1.700,0.300,0.450,0.790,0.845,1,1,1,1,126,,105,visual,Data,TrackUpdate,0.10,1
11,0,0,10.52,5.403,0.635,0.999,1.000,0.0,0.0,206.860,3.502,13.712,0,206.860,1.700,0.300,0.450,0.790,0.844,1,1,1,1,126,,100,visual,Data,TrackUpdate,0.10,1
11,0,0,10.651,6.002,0.244,0.999,1.000,0.0,0.0,206.860,3.497,13.676,0,206.860,1.700,0.300,0.450,0.790,0.846,1,1,1,1,126,,106,visual,Data,TrackUpdate,0.10,1
11,0,0,10.718,6.069,0.237,0.999,1.000,0.0,0.0,206.860,3.499,13.672,0,206.860,1.700,0.300,0.450,0.790,0.846,1,1,1,1,126,,107,visual,Data,TrackUpdate,0.10,1
11,0,0,10.850,6.201,0.196,0.999,1.000,0.0,0.0,206.860,3.508,13.701,0,206.860,1.700,0.300,0.450,0.790,0.845,1,1,1,1,126,,108,visual,Data,TrackUpdate,0.10,1
11,0,0,10.916,6.267,0.168,0.999,1.000,0.0,0.0,206.860,3.510,13.709,0,206.860,1.700,0.300,0.450,0.791,0.844,1,1,1,1,126,,109,visual,Data,TrackUpdate,0.10,1
1,5,5,100.116,12.400,0.299,0.922,1.000,0.0,0.0,158.708,-4.265,16.938,0,158.708,1.500,5.000,2.000,0.188,0.722,1,1,1,1,126,,1001,visual,Data,TrackUpdate,0.10,1
1,5,5,100.251,12.535,0.267,0.945,1.000,0.0,0.0,158.708,-4.264,16.936,0,158.708,1.500,5.000,2.000,0.188,0.722,1,1,1,1,126,,1002,visual,Data,TrackUpdate,0.10,1
1,5,5,100.317,12.601,0.253,0.335,1.000,0.0,0.0,158.708,-4.264,16.936,0,158.708,1.500,5.000,2.000,0.188,0.722,127,127,1,1,127,,1003,visual,Data,TrackUpdate,0.10,1
1,5,5,100.448,12.732,0.223,0.301,1.000,0.0,0.0,158.708,-4.264,16.937,0,158.708,1.500,5.000,2.000,0.188,0.722,127,127,1,1,127,,1004,visual,Data,TrackUpdate,0.10,1
1,5,5,100.50,12.334,0.315,0.797,1.000,0.0,0.0,158.708,-4.265,16.940,0,158.708,1.500,5.000,2.000,0.188,0.721,1,1,1,1,126,,1000,visual,Data,TrackUpdate,0.10,1
1,5,5,100.517,12.801,0.198,0.303,1.000,0.0,0.0,158.708,-4.264,16.937,0,158.708,1.500,5.000,2.000,0.188,0.722,127,127,1,1,127,,1005,visual,Data,TrackUpdate,0.10,1
1,5,5,100.649,12.933,0.168,0.460,1.000,0.0,0.0,158.708,-4.265,16.939,0,158.708,1.500,5.000,2.000,0.188,0.722,127,127,1,1,127,,1006,visual,Data,TrackUpdate,0.10,1
1,5,5,100.749,13.033,0.149,0.564,1.000,0.0,0.0,158.708,-4.266,16.941,0,158.708,1.500,5.000,2.000,0.188,0.721,127,127,1,1,127,,1007,visual,Data,TrackUpdate,0.10,1
