id,external_id,class_id,object_time,life_time,speed,class_confidence,object_confidence,gps_latitude,gps_longitude,gps_heading,world_x,world_y,world_z,world_heading_3d,world_height,world_length,world_width,image_x,image_y,speed_x_confidence,speed_y_confidence,world_x_confidence,world_y_confidence,world_heading_3d_confidence,record_time,data_number,camera_type,message_type,record_type,interval_time,num_objects
11,0,1,10.1,5.180,29.987,0.976,1.000,0.0,0.0,5.853,3.006,47.670,0,5.853,1.800,1.800,0.700,0.583,0.278,1,1,2,2,126,,100,visual,Data,TrackUpdate,0.10,1
11,0,1,10.122,5.301,30.135,0.923,1.000,0.0,0.0,6.026,3.194,48.838,0,6.026,1.800,1.800,0.700,0.586,0.272,1,1,2,2,126,,101,visual,Data,TrackUpdate,0.10,1
11,0,1,10.254,5.433,29.804,0.306,1.000,0.0,0.0,6.092,3.266,49.516,0,6.092,1.800,1.800,0.700,0.586,0.269,1,1,2,2,126,,102,visual,Data,TrackUpdate,0.10,1
11,0,1,10.320,5.499,31.433,0.969,1.000,0.0,0.0,6.052,3.552,52.121,0,6.052,1.800,1.800,0.700,0.589,0.261,1,1,2,2,126,,103,visual,Data,TrackUpdate,0.10,1
11,0,1,10.453,5.632,30.315,0.889,1.000,0.0,0.0,6.182,3.581,51.714,0,6.182,1.800,1.800,0.700,0.591,0.262,1,1,2,2,126,,104,visual,Data,TrackUpdate,0.10,1
11,0,1,10.521,5.700,30.410,0.951,1.000,0.0,0.0,6.197,3.669,52.461,0,6.197,1.800,1.800,0.700,0.592,0.259,1,1,3,3,126,,105,visual,Data,TrackUpdate,0.10,1
11,0,1,10.654,5.833,29.926,0.421,1.000,0.0,0.0,6.197,3.762,52.963,0,6.197,1.800,1.800,0.700,0.593,0.258,1,1,3,3,126,,106,visual,Data,TrackUpdate,0.10,1
11,0,1,10.722,5.901,30.392,0.794,1.000,0.0,0.0,6.368,3.920,54.137,0,6.368,1.800,1.800,0.700,0.595,0.255,1,1,3,3,126,,107,visual,Data,TrackUpdate,0.10,1
11,0,1,10.803,5.982,30.175,0.938,1.000,0.0,0.0,6.368,3.991,54.440,0,6.368,1.800,1.800,0.700,0.596,0.253,1,1,3,3,126,,108,visual,Data,TrackUpdate,0.10,1
11,0,1,10.919,6.098,30.002,0.531,1.000,0.0,0.0,6.609,4.112,55.183,0,6.609,1.800,1.800,0.700,0.597,0.251,1,1,3,3,126,,109,visual,Data,TrackUpdate,0.10,1
